"","Polling.Firm","Commissioners","Fieldwork.Start","Fieldwork.End","Scope","Sample.Size","Sample.Size.Qualification","Participation","Precision","PiS","PO","K15",".N","PSL","SLD","Wiosna","NN","LR","ZP","KO","Lewica","KP","Konfederacja","BS","KE","PL2050","Porozumienie","AU","AU.Porozumienie","TD","T.DPL","PJJ","Other"
"795","Social Changes","","2019-08-16","2019-08-21","National","1030","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,30.8,13.4,8.4,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"796","Ariadna","","2019-08-16","2019-08-20","National","1036","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,27,10,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"797","Kantar Public","TVN","2019-08-13","2019-08-13","National","1003","Provided","Not Available","1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,27,11,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,9
"798","IBRiS","Rzeczpospolita","2019-08-09","2019-08-10","National","1100","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2,27,11.6,6.5,2.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,9
"799","Estymator","DoRzeczy.pl","2019-08-06","2019-08-08","National","1020","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,30.2,10.1,5.3,4.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,1.1
"800","Estymator","DoRzeczy.pl","2019-08-06","2019-08-08","National","1020","Provided","Not Available","0.1%",45.4,28.9,2.8,1.4,5.1,5.4,3.7,2.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"801","Instytut Badań Pollster","Super Express","2019-08-06","2019-08-07","National","1063","Provided","Not Available","1%",43,25,5,2,5,5,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"802","Social Changes","","2019-08-02","2019-08-07","National","1026","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,26.9,14.9,9.3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"803","Social Changes","","2019-08-02","2019-08-07","National","1026","Provided","Not Available","0.1%",45.8,24.8,3,1.7,6.5,6.9,6.4,2.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3
"804","Social Changes","","2019-07-26","2019-07-31","National","1012","Provided","Not Available","0.1%",46.7,25.7,3.2,1.2,5.9,6.2,5.7,2.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9
"805","Social Changes","","2019-07-26","2019-07-31","National","1012","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,29.9,11,9.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"806","IBRiS","RMF","2019-07-26","2019-07-27","National","1100","Provided","Not Available","0.1%",44.5,20.2,4.1,1.5,2,5.3,5.8,2.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2
"807","Social Changes","","2019-07-19","2019-07-24","National","1064","Provided","Not Available","0.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,29.4,10.6,11.4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"808","Social Changes","","2019-07-19","2019-07-24","National","1064","Provided","Not Available","0.1%",46.4,26.3,3,1.2,4.3,6.7,6.2,3.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
"809","Estymator","DoRzeczy.pl","2019-07-18","2019-07-19","National","1009","Provided","Not Available","0.1%",45.3,28.9,4.8,1.2,5.2,4.5,3.8,2.9,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9
"810","Social Changes","","2019-07-12","2019-07-17","National","1004","Provided","Not Available","0.1%",45.4,27.3,3.1,1,5.8,5.3,5.8,3.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3
"811","Kantar Public","Radio ZET","2019-07-12","2019-07-17","National","974","Provided","Not Available","1%",39,26,4,3,2,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"812","Kantar Millward Brown","TVN and TVN24","2019-07-12","2019-07-15","National","1002","Provided","Not Available","1%",42,27,6,NA,3,2,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"813","IBRiS","Rzeczpospolita","2019-07-12","2019-07-13","National","1100","Provided","Not Available","0.1%",43,26.1,3.1,0.5,4.4,5.9,4.2,3.7,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7
"814","CBOS","","2019-07-04","2019-07-11","National","1120","Provided","Not Available","1%",44,21,4,1,6,3,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"815","Social Changes","","2019-07-05","2019-07-10","National","1022","Provided","Not Available","0.1%",45.3,27.8,3.1,NA,5,6,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
"816","IBRiS","RMF","2019-06-28","2019-06-29","National","1100","Provided","Not Available","0.1%",40.3,19.9,5.4,1.3,3,5.4,6.3,3.4,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1
"817","Social Changes","","2019-06-21","2019-06-26","National","1044","Provided","Not Available","0.1%",44,23.9,4.5,1.2,4.2,4.3,7.7,3.1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9
"818","Estymator","DoRzeczy.pl","2019-06-19","2019-06-20","National","1006","Provided","Not Available","0.1%",47.9,22.7,3.5,1.6,4.3,4.5,7.3,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8
"819","CBOS","","2019-06-06","2019-06-13","National","1115","Provided","Not Available","1%",44,22,4,1,3,2,7,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"820","IBRiS","Rzeczpospolita","2019-06-07","2019-06-08","National","1100","Provided","Not Available","0.1%",40.8,19.1,3.4,1.6,5.1,6,8.8,2.1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4
"821","Social Changes","","2019-05-31","2019-06-05","National","1034","Provided","Not Available","0.1%",41.5,22.4,9.3,4.1,5,3,8.9,1.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7
"822","Social Changes","","2019-05-24","2019-05-29","National","1040","Provided","Not Available","0.1%",40.6,22.9,8.9,3.5,5.5,4,9,2.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"823","IBRiS","","2019-05-22","2019-05-23","European","1002","Provided","Not Available","1%",36,NA,4,NA,NA,NA,8,6,3,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA
"824","CBOS","","2019-05-16","2019-05-23","National","1138","Provided","Not Available","1%",46,20,6,1,4,2,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"825","Kantar Millward Brown","Gazeta Wyborcza","2019-05-16","2019-05-19","European","1006","Provided","Not Available","1%",35,NA,3,NA,NA,NA,10,8,1,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,3
"826","Estymator","","2019-05-15","2019-05-16","European","1011","Provided","Not Available","0.1%",40.3,NA,5.1,NA,NA,NA,7.6,4.9,3.1,NA,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,0.6
"827","IBSP","","2019-05-14","2019-05-16","European","1008","Provided","Not Available","0.1%",33,NA,5,NA,NA,NA,9,7,2,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,0.16
"828","Polska Press","","2019-05-13","2019-05-16","European","6500","Provided","Not Available","0.1%",38.7,NA,6.4,NA,NA,NA,8.4,4.9,3.6,NA,NA,NA,NA,NA,NA,37.1,NA,NA,NA,NA,NA,NA,NA,1
"829","Social Changes","","2019-05-10","2019-05-15","National","1102","Provided","Not Available","0.1%",35.9,21.6,8.1,NA,4.5,5.7,14.2,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
"830","Social Changes","","2019-05-10","2019-05-15","European","1050","Provided","Not Available","1%",37,NA,8,NA,NA,NA,14,4,2,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA
"831","Kantar Millward Brown","Gazeta Wyborcza","2019-05-10","2019-05-15","National","967","Provided","Not Available","1%",40,21,4,2,5,5,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"832","Kantar Millward Brown","Gazeta Wyborcza","2019-05-10","2019-05-15","European","967","Provided","Not Available","0.1%",43,NA,4.9,NA,NA,NA,9,6.8,3,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,3
"833","OPB Ariadna","WP","2019-05-10","2019-05-13","European","1053","Provided","Not Available","1%",36,NA,5,NA,NA,NA,10,2,2,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,13
"834","IBRiS","","2019-05-12","2019-05-12","European","Not Available","Not Available","Not Available","0.1%",39.1,NA,5.3,NA,NA,NA,7.1,4.2,2.4,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,7.8
"835","CBM Indicator","TVP1","2019-05-09","2019-05-11","European","1000","Provided","Not Available","0.1%",35.1,NA,5.4,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA,NA,NA,19.2
"836","Kantar Millward Brown","TVN and TVN24","2019-05-08","2019-05-10","European","1001","Provided","Not Available","1%",34,NA,5,NA,NA,NA,8,6,2,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,12
"837","IBSP","","2019-05-07","2019-05-09","European","1011","Provided","Not Available","0.1%",39.04,NA,4.79,NA,NA,NA,9.57,1.82,2.67,NA,NA,NA,NA,NA,NA,41.95,NA,NA,NA,NA,NA,NA,NA,0.16
"838","ewybory.eu","","2019-04-17","2019-05-06","European","12000","Provided","Not Available","0.1%",41.4,NA,5.1,NA,NA,NA,7.9,5.5,2.7,NA,NA,NA,NA,NA,NA,36.7,NA,NA,NA,NA,NA,NA,NA,0.7
"839","Pracownia Analiz Społeczno-Politycznych","Gazeta Bałtycka","2019-05-01","2019-05-04","National","1054","Provided","Not Available","0.5%",36,28,9,2.5,5.5,7,4.5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
"840","Estymator","","2019-04-29","2019-04-30","European","1008","Provided","Not Available","0.1%",42.1,NA,6,NA,NA,NA,7.7,3.8,2.9,NA,NA,NA,NA,NA,NA,36.9,NA,NA,NA,NA,NA,NA,NA,0.6
"841","Social Changes","","2019-04-26","2019-04-30","National","1050","Provided","Not Available","0.1%",35.1,22.2,8.1,NA,5.5,5.1,12.7,3.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
"842","Social Changes","","2019-04-26","2019-04-30","European","1050","Provided","Not Available","0.1%",36.7,NA,8.5,NA,NA,NA,12.7,2.9,2.9,NA,NA,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA,3.9
"843","Instytut Badań Pollster","Super Express","2019-04-26","2019-04-29","National","1031","Provided","Not Available","1%",39,26,7,2,4,4,11,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"844","IBRiS","Radio ZET","2019-04-26","2019-04-27","European","1100","Provided","Not Available","1%",42,NA,6,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA
"845","IBSP","","2019-04-23","2019-04-26","European","1006","Provided","Not Available","1%",40,NA,4,NA,NA,NA,11,6,1,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA
"846","Social Changes","","2019-04-19","2019-04-24","National","1050","Provided","Not Available","1%",39,23,8,NA,6,5,11,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"847","Social Changes","","2019-04-19","2019-04-24","European","1050","Provided","Not Available","1%",38,NA,10,NA,NA,NA,12,3,4,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA
"848","CBM Indicator","TVP1","2019-04-01","2019-04-23","European","6500","Provided","Not Available","0.1%",40.9,NA,5,NA,NA,NA,7,3,2,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,3.9
"849","Social Changes","","2019-04-12","2019-04-17","National","1111","Provided","Not Available","1%",37,22,9,NA,5,5,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"850","Kantar Millward Brown","TVN and TVN24","2019-04-15","2019-04-16","European","1004","Provided","Not Available","1%",38,NA,6,NA,NA,NA,10,5,2,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,4
"851","IBRiS","Radio ZET","2019-04-12","2019-04-12","European","1100","Provided","Not Available","0.1%",38.7,NA,5.3,NA,NA,NA,7.6,3.8,NA,NA,NA,NA,NA,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA
"852","Estymator","DoRzeczy.pl","2019-04-10","2019-04-11","European","1016","Provided","Not Available","0.1%",42,NA,6.1,NA,NA,NA,7.6,3.8,1.2,NA,NA,NA,NA,NA,NA,37.7,NA,NA,NA,NA,NA,NA,NA,1.6
"853","CBOS","","2019-04-04","2019-04-11","European","1064","Provided","Not Available","1%",41,NA,3,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,22
"854","Kantar Millward Brown","Gazeta Wyborcza","2019-04-04","2019-04-09","European","1600","Provided","Not Available","1%",36,NA,4,NA,NA,NA,14,5,5,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,3
"855","Polska Press","","2019-04-05","2019-04-07","European","6500","Provided","Not Available","0.1%",40.7,NA,6.3,NA,NA,NA,7.4,3.9,NA,NA,NA,NA,NA,NA,NA,38.3,NA,NA,NA,NA,NA,NA,NA,3.4
"856","Instytut Badań Spraw Narodowościowych","Radio ZET","2019-03-25","2019-03-27","National","1006","Provided","Not Available","0.1%",37.64,32.61,4.82,1.71,3.51,4.19,10.98,3.66,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46
"857","CBM Indicator","TVP1","2019-03-20","2019-03-22","National","1000","Provided","Not Available","0.1%",40.9,25.7,6,2.3,5.2,5.1,8.6,0.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"858","Estymator","DoRzeczy.pl","2019-03-20","2019-03-21","National","1005","Provided","Not Available","0.1%",42.6,26.7,6.3,2.1,5.3,4.8,6.4,1.7,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
"859","CBOS","","2019-03-07","2019-03-14","National","1046","Provided","Not Available","1%",44,20,5,2,4,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"860","Kantar Public","","2019-03-08","2019-03-13","National","981","Provided","Not Available","1%",38,21,4,2,5,4,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"861","Kantar Millward Brown","Gazeta Wyborcza","2019-03-05","2019-03-11","European","1500","Provided","Not Available","1%",35,NA,8,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,7
"862","IBRiS","Rzeczpospolita","2019-03-09","2019-03-10","European","1100","Provided","Not Available","1%",40,NA,5,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,5
"863","IBRiS","Rzeczpospolita","2019-03-09","2019-03-10","National","1100","Provided","Not Available","1%",40,21,7,1,6,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"864","IBRiS","SWG","2019-02-27","2019-02-28","European","1100","Provided","Not Available","0.1%",42,NA,5.4,NA,NA,NA,6.5,4.3,0.9,NA,NA,NA,NA,NA,NA,40.7,NA,NA,NA,NA,NA,NA,NA,NA
"865","Estymator","DoRzeczy.pl","2019-02-20","2019-02-21","National","1013","Provided","Not Available","0.1%",41.1,26.2,7.6,0.7,5.6,3.9,9.2,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"866","Estymator","DoRzeczy.pl","2019-02-20","2019-02-21","European","1013","Provided","Not Available","1%",38,NA,7,NA,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA
"867","IPSOS","OKO.press","2019-02-14","2019-02-16","National","1004","Provided","Not Available","0.1%",35.02,23.99,7.4,1.33,3.59,3.19,11.88,5.94,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.02
"868","IPSOS","OKO.press","2019-02-14","2019-02-16","European","1004","Provided","Not Available","0.1%",33.94,NA,7.9,NA,NA,NA,12.02,6.14,1.04,NA,NA,NA,NA,NA,NA,33.24,NA,NA,NA,NA,NA,NA,NA,NA
"869","CBOS","","2019-02-07","2019-02-14","National","1019","Provided","Not Available","1%",40,15,5,2,5,2,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"870","Kantar Public","","2019-02-08","2019-02-13","National","973","Provided","Not Available","1%",34,20,6,2,4,5,11,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"871","OPB Ariadna","WP","2019-02-08","2019-02-11","National","1063","Provided","Not Available","1%",35,20,6,1,7,4,15,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"872","IBRiS","Rzeczpospolita","2019-02-07","2019-02-08","National","1100","Provided","Not Available","0.1%",37.1,21.8,4.7,0.6,4.8,5.2,16.2,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9
"873","Estymator","DoRzeczy.pl","2019-02-05","2019-02-07","National","1011","Provided","Not Available","0.1%",39.7,28.2,7.4,0.9,5.9,4.6,8.6,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"874","Instytut Badań Spraw Narodowościowych","Radio ZET","2019-01-31","2019-02-06","National","1000","Provided","Not Available","0.1%",35.05,32.2,5.76,1.14,3.27,3.99,11.98,1.55,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91
"875","Kantar Millward Brown","","2019-02-04","2019-02-05","National","1004","Provided","Not Available","1%",29,20,7,NA,5,6,14,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"876","Instytut Badań Pollster","Super Express","2019-01-30","2019-01-30","National","Not Available","Not Available","Not Available","1%",37,24,6,4,7,4,10,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"877","IBRiS","Rzeczpospolita","2019-01-26","2019-01-27","National","1100","Provided","Not Available","0.1%",35,29.2,5.1,1.4,6.5,5.7,NA,0.5,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5
"878","IBRiS","Onet","2019-01-25","2019-01-26","National","1100","Provided","Not Available","0.1%",36.2,29.6,3.8,0.3,4.1,6.1,6.4,2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6
"879","Estymator","DoRzeczy.pl","2019-01-23","2019-01-24","National","1002","Provided","Not Available","0.1%",42.4,31.1,8.6,1.4,6.8,4.8,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9
"880","CBOS","","2019-01-10","2019-01-17","National","986","Provided","Not Available","1%",39,22,7,2,5,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"881","Kantar Millward Brown","Gazeta Wyborcza","2019-01-15","2019-01-16","National","Not Available","Not Available","Not Available","1%",28,23,5,NA,5,3,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"882","Kantar Public","","2019-01-11","2019-01-16","National","987","Provided","Not Available","1%",34,26,7,3,5,5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"883","Instytut Badań Pollster","Super Express","2019-01-10","2019-01-11","National","1097","Provided","Not Available","1%",40,29,7,3,7,6,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"884","IBRiS","Rzeczpospolita","2019-01-04","2019-01-04","National","1100","Provided","Not Available","0.1%",39.1,26.3,5.5,0.9,6.7,5,NA,2.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4
"885","Instytut Badań Pollster","Super Express","2018-12-13","2018-12-14","National","1097","Provided","Not Available","1%",42,29,7,5,5,6,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"886","Estymator","DoRzeczy.pl","2018-12-12","2018-12-13","National","1032","Provided","Not Available","0.1%",41.9,32.1,9,NA,6.4,6.3,NA,1.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
"887","Kantar Public","","2018-11-30","2018-12-11","National","1028","Provided","Not Available","1%",34,27,6,NA,4,6,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"888","CBOS","","2018-11-29","2018-12-09","National","1016","Provided","Not Available","1%",41,24,5,2,7,4,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"889","IBRiS","Rzeczpospolita","2018-12-07","2018-12-08","National","1000","Provided","Not Available","0.1%",37.2,31.3,5.7,4,5.1,6.7,NA,0.9,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7
"890","IBRiS","Onet","2018-11-23","2018-11-24","National","1100","Provided","Not Available","0.1%",38.2,30.2,5.2,3.8,4.5,8.2,NA,0.3,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
"891","Estymator","DoRzeczy.pl","2018-11-20","2018-11-21","National","1010","Provided","Not Available","0.1%",40.7,30.4,11.6,NA,4.7,7.3,NA,1.3,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1
"892","Kantar Millward Brown","TVN and TVN24","2018-11-19","2018-11-20","National","1002","Provided","Not Available","1%",33,26,7,3,4,7,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"893","Kantar Public","","2018-11-09","2018-11-15","National","1024","Provided","Not Available","1%",34,24,9,NA,5,7,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"894","CBOS","","2018-11-08","2018-11-15","National","1051","Provided","Not Available","1%",42,21,6,2,7,5,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"895","IBRiS","Rzeczpospolita","2018-11-13","2018-11-13","National","1100","Provided","Not Available","0.1%",40.1,29.6,5.6,4.7,4,6.2,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1
"896","IBRiS","Rzeczpospolita","2018-11-08","2018-11-09","National","1100","Provided","Not Available","0.1%",37.3,28.3,4.8,4.8,4.2,7.9,NA,1.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4
"897","Estymator","DoRzeczy.pl","2018-10-29","2018-10-30","National","1017","Provided","Not Available","0.1%",42.4,30,7.3,NA,6,7.4,NA,1.9,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898","IBRiS","","2018-10-26","2018-10-27","National","Not Available","Not Available","Not Available","0.1%",40.9,27.2,4.7,4,5.7,7,NA,1.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
"899","Kantar Public","","2018-10-12","2018-10-17","National","1037","Provided","Not Available","1%",31,24,8,NA,8,7,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"900","CBOS","","2018-10-04","2018-10-11","National","1115","Provided","Not Available","1%",40,19,8,3,5,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"901","IBRiS","Rzeczpospolita","2018-10-05","2018-10-06","National","Not Available","Not Available","Not Available","0.1%",37.2,30,10.1,NA,5.2,7,NA,1.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
"902","Instytut Badań Pollster","Super Express","2018-10-01","2018-10-01","National","1030","Provided","Not Available","1%",41,31,9,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"903","IBRiS","Onet","2018-09-22","2018-09-23","National","1100","Provided","Not Available","0.1%",33.2,23.1,10,2.2,6.3,8.7,NA,3.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9
"904","Estymator","DoRzeczy.pl","2018-09-20","2018-09-21","National","1006","Provided","Not Available","0.1%",45,23.9,6.9,4.1,7.4,8.1,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
"905","Kantar Millward Brown","TVN and TVN24","2018-09-14","2018-09-17","National","Not Available","Not Available","Not Available","1%",38,21,4,7,4,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"906","CBOS","","2018-09-06","2018-09-13","National","1064","Provided","Not Available","1%",43,18,7,3,4,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"907","Kantar Public","","2018-09-07","2018-09-12","National","1023","Provided","Not Available","1%",42,20,6,4,4,6,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"908","IBRiS","Rzeczpospolita","2018-08-25","2018-09-01","National","Not Available","Not Available","Not Available","0.1%",36.6,27.1,7,3.8,5,8.6,NA,0.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8
"909","Estymator","DoRzeczy.pl","2018-08-22","2018-08-23","National","1011","Provided","Not Available","0.1%",44.2,24.8,7.1,3.4,6.6,8.9,NA,1.5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7
